idENT_MEN;IDENT_IND;RG;DEP;DATENQ;POIDS_VOY13;poids_annuel;IDENT_VOY;V2_OLDVMH;V2_OLDDEBJ;V2_OLDFINJ;V2_OLDDEST;V2_OLDVORG;V2_OLDVDEP;V2_OLDVPAYS;V2_PAYS;V2_Continent;V2_Dom_Tom;V2_NAVETTE;V2_OLDMOTPR;V2_OLDACCOMPP;V2_OLDTALP;V2_OLDHEBERP;V2_OLDMTPP;V2_DVO_DSV;Nbdep;V2_OLDKMV;V2_DUREEV;V2_OLDNBEXC;V2_OLDNBLDMJ;V2_OLVCHXI;V2_OLVCHXIB_A;V2_OLVCHXIB_B;V2_OLVCHXIB_C;V2_OLVCHXIB_D;numcom_AUCat;numcom_zhu;numcom_UUCat;numcom_ZE;numcom_BV;numcom_Pays;numcom_Canton;numcom_EPCI;numcom_SCOT;numcom_PTU;numcom_montagne;numcom_littoral;V2_OLDVCOM_AUCat;V2_OLDVCOM_zhu;V2_OLDVCOM_UUCat;V2_OLDVCOM_ZE;V2_OLDVCOM_BV;V2_OLDVCOM_Pays;V2_OLDVCOM_Canton;V2_OLDVCOM_EPCI;V2_OLDVCOM_SCOT;V2_OLDVCOM_PTU;V2_OLDVCOM_montagne;V2_OLDVCOM_littoral;numcom_AU2010;numcom_UU2010;v2_oldvcom_AU2010;v2_oldvcom_UU2010
11017201000;1101720100001;11;78;02/04/2008;1060.5076507;4242.0306028;11017201000D02;10;05/03/2008;15/03/2008;1;2;44;001;France;0;0;0;8.81;1;2;3;6.60;374;2;800;440;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;05;banlieue;5202;44184;;44310;244400610;951;286;non montagne;communes bord de mer;114;C;111;B
11017301000;1101730100004;11;78;10/03/2008;7320.1996846;29280.798738;11017301000D01;7;01/03/2008;08/03/2008;1;2;35;001;France;0;0;0;8.80;3;2;7;3.32;296;2;800;540;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;02;ville isolée;5342;35288;35SAMA;35496;243500782;610;86;non montagne;communes bord de mer;114;C;111;I
11018402000;1101840200001;11;78;25/03/2008;5555.3797187;22221.518875;11018402000D01;3;21/03/2008;24/03/2008;1;2;95;001;France;0;0;0;5.52;2;2;;3.32;56;2;180;255;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Commune monopolarisée;07;ville centre;1138;95487;;95303;;;;non montagne;non littoral;114;C;114;C
11018402000;1101840200001;11;78;25/03/2008;5555.3797187;22221.518875;11018402000D02;3;14/03/2008;17/03/2008;1;2;95;001;France;0;0;0;5.52;2;2;;3.32;56;2;180;255;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Commune monopolarisée;07;ville centre;1138;95487;;95303;;;;non montagne;non littoral;114;C;114;C
11018402000;1101840200001;11;78;25/03/2008;5555.3797187;22221.518875;11018402000D03;3;07/03/2008;10/03/2008;1;2;95;001;France;0;0;0;5.52;2;2;;3.32;56;2;180;255;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Commune monopolarisée;07;ville centre;1138;95487;;95303;;;;non montagne;non littoral;114;C;114;C
11018402000;1101840200001;11;78;25/03/2008;5555.3797187;22221.518875;11018402000D04;3;29/02/2008;03/03/2008;1;2;95;001;France;0;0;0;5.52;2;2;;3.32;56;2;180;255;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Commune monopolarisée;07;ville centre;1138;95487;;95303;;;;non montagne;non littoral;114;C;114;C
11019202000;1101920200001;11;78;12/04/2008;2973.2639388;11893.055755;11019202000D01;1;10/04/2008;11/04/2008;1;2;50;001;France;0;0;0;9.92;4;2;;3.30;276;2;780;405;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Pôle urbain;06;ville centre;2504;50129;50COTE;50296;245000237;259;37;non montagne;communes bord de mer;114;C;111;C
11019202000;1101920200001;11;78;12/04/2008;4918.3666924;19673.46677;11019202000D02;0;03/04/2008;03/04/2008;1;2;__;012;Luxembourg;0;0;0;9.92;2;2;0;6.61;326;2;1100;590;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;;;;;;;;;;;;;114;C;;
11019202000;1101920200001;11;78;12/04/2008;3077.1480036;12308.592014;11019202000D03;0;29/03/2008;29/03/2008;1;2;56;001;France;0;0;0;5.51;1;2;0;6.61;404;2;1000;675;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Pôle urbain;06;ville centre;5353;56121;56LORI;56198;245600341;206;56;non montagne;communes d'estuaire;114;C;111;C
11019202000;1101920200001;11;78;12/04/2008;4846.45148;19385.80592;11019202000D04;1;26/03/2008;27/03/2008;1;2;50;001;France;0;0;0;9.92;4;2;;3.30;276;2;780;420;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78220;;78218;;2260;;non montagne;non littoral;Pôle urbain;06;ville centre;2504;50129;50COTE;50296;245000237;259;37;non montagne;communes bord de mer;114;C;111;C
