NOM_COM,INSEE_COM,POPULATION,surface,r,distance_interne,x,y
Villemoirieu,38554,1867,13.341,1.163,1.053,872,6517
Heyrieux,38189,4695,13.993,1.191,1.078,862,6504
Domalain,35097,1993,33.577,1.844,1.670,381,6770
La Verpillière,38537,7104,6.706,0.824,0.746,869,6507
Veyssilieu,38542,336,6.574,0.816,0.739,874,6511
Bonnefamille,38048,1107,9.441,0.978,0.885,862,6503
Pelleautier,5100,700,12.743,1.136,1.029,937,6385
Vaulx-Milieu,38530,2532,9.046,0.957,0.866,870,6507
Saint-Savin,38455,4037,24.834,1.586,1.436,877,6507
Culhat,63131,1182,18.747,1.378,1.248,726,6532
Moras,38260,507,8.263,0.915,0.828,875,6514
Bourisp,65106,158,1.891,0.438,0.397,482,6195
Trept,38515,2106,15.905,1.269,1.149,884,6511
Seyssel,1407,997,2.391,0.492,0.445,918,6541
Diémoz,38144,2692,13.893,1.186,1.074,861,6502
La Couyère,35089,495,11.900,1.098,0.994,364,6762
Valencin,38519,2751,9.586,0.986,0.893,860,6502
Décines-Charpieu,69275,27851,17.134,1.318,1.193,853,6525
Saint-Just-Chaleyssin,38408,2526,14.055,1.193,1.080,856,6502
Saint-Quentin-Fallavier,38449,6099,23.631,1.547,1.401,862,6504
Chamagnieu,38067,1651,13.815,1.183,1.071,868,6513
Saint-Alban-de-Roche,38352,1908,4.431,0.670,0.607,873,6503
Dizimieu,38146,842,9.700,0.991,0.897,878,6513
Saint-Hilaire-de-Brens,38392,624,7.561,0.875,0.792,879,6509
Saint-Symphorien-d'Ancelles,71481,1176,6.380,0.804,0.728,835,6569
L'Isle-d'Abeau,38193,16074,12.968,1.146,1.038,872,6506
Saint-Clair-de-la-Tour,38377,3395,9.236,0.967,0.876,892,6499
Vasselin,38525,466,3.881,0.627,0.568,892,6505
Brangues,38055,621,11.622,1.085,0.982,895,6513
Framecourt,62352,105,2.264,0.479,0.434,650,7026
Saint-Victor-de-Morestel,38465,1097,13.222,1.157,1.048,897,6516
Soleymieu,38494,773,13.337,1.162,1.052,886,6513
La Bâtie-Montgascon,38029,1904,8.454,0.926,0.838,895,6501
Les Avenières Veyrins-Thuellin,38022,7712,41.487,2.050,1.856,900,6511
Vézeronce-Curtin,38543,2097,14.650,1.218,1.103,889,6508
Griesbach-au-Val,68109,727,4.867,0.702,0.636,1010,6776
