"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""72 Winkel"",""Secteur économique - total"",276,1033,561,472,726,323,403"
"2021,""72 Winkel"",""Secteur primaire"",21,119,40,79,102,34,68"
"2021,""72 Winkel"",""Secteur secondaire"",24,106,28,78,91,16,75"
"2021,""72 Winkel"",""Secteur tertiaire"",231,808,493,315,534,274,260"
"2021,""81 Bachs"",""Secteur économique - total"",55,238,123,115,168,72,95"
"2021,""81 Bachs"",""Secteur primaire"",21,72,X,X,46,X,X"
"2021,""81 Bachs"",""Secteur secondaire"",5,42,X,X,40,X,X"
"2021,""81 Bachs"",""Secteur tertiaire"",29,124,87,37,82,53,28"
"2021,""82 Boppelsen"",""Secteur économique - total"",78,329,202,127,255,145,111"
"2021,""82 Boppelsen"",""Secteur primaire"",10,170,105,65,161,101,60"
"2021,""82 Boppelsen"",""Secteur secondaire"",9,14,X,X,11,X,X"
"2021,""82 Boppelsen"",""Secteur tertiaire"",59,145,X,X,84,X,X"
"2021,""83 Buchs (ZH)"",""Secteur économique - total"",302,2452,903,1549,2024,610,1414"
"2021,""83 Buchs (ZH)"",""Secteur primaire"",10,43,15,28,36,13,23"
"2021,""83 Buchs (ZH)"",""Secteur secondaire"",54,281,58,223,250,36,214"
"2021,""83 Buchs (ZH)"",""Secteur tertiaire"",238,2128,830,1298,1737,561,1177"
"2021,""84 Dällikon"",""Secteur économique - total"",285,2934,944,1990,2549,687,1862"
"2021,""84 Dällikon"",""Secteur primaire"",10,215,88,127,194,74,120"
"2021,""84 Dällikon"",""Secteur secondaire"",65,1304,369,935,1196,290,906"
"2021,""84 Dällikon"",""Secteur tertiaire"",210,1415,487,928,1160,323,837"
"2021,""85 Dänikon"",""Secteur économique - total"",97,409,167,242,312,101,211"
"2021,""85 Dänikon"",""Secteur primaire"",8,56,17,39,40,10,30"
"2021,""85 Dänikon"",""Secteur secondaire"",24,182,39,143,163,26,137"
"2021,""85 Dänikon"",""Secteur tertiaire"",65,171,111,60,109,64,45"
"2021,""86 Dielsdorf"",""Secteur économique - total"",436,4535,2176,2359,3537,1515,2023"
"2021,""86 Dielsdorf"",""Secteur primaire"",8,26,8,18,20,5,15"
"2021,""86 Dielsdorf"",""Secteur secondaire"",57,655,164,491,597,122,475"
"2021,""86 Dielsdorf"",""Secteur tertiaire"",371,3854,2004,1850,2921,1387,1533"
"2021,""87 Hüttikon"",""Secteur économique - total"",44,104,41,63,67,20,47"
"2021,""87 Hüttikon"",""Secteur primaire"",7,16,X,X,9,X,X"
"2021,""87 Hüttikon"",""Secteur secondaire"",6,26,X,X,22,X,X"
"2021,""87 Hüttikon"",""Secteur tertiaire"",31,62,30,32,37,15,22"
"2021,""88 Neerach"",""Secteur économique - total"",241,680,342,338,457,183,274"
"2021,""88 Neerach"",""Secteur primaire"",15,34,X,X,24,X,X"
"2021,""88 Neerach"",""Secteur secondaire"",27,68,X,X,61,X,X"
"2021,""88 Neerach"",""Secteur tertiaire"",199,578,325,253,372,174,198"
"2021,""89 Niederglatt"",""Secteur économique - total"",251,1700,669,1031,1363,437,926"
