,NOM_COM,INSEE_COM,x,y
242,Collias,30085,818159.916587211,6317792.89481027
243,Théziers,30328,830713.774026686,6313005.8950644
244,Saint-Gervasy,30257,818127.718688502,6309465.36220937
245,Redessan,30211,821679.413307404,6305101.41896309
246,Domazan,30103,832987.600777365,6316797.09127891
247,Lédenon,30145,821752.712824198,6313341.4357343
248,Valliguières,30340,827488.57056688,6324547.4330985
249,Lirac,30149,834859.842720777,6327183.21171781
250,Montfrin,30179,827958.245404447,6309752.94936621
251,Le Pin,30196,822947.539744458,6333451.21473153
252,Argilliers,30013,819616.413815529,6321404.11279694
253,Saze,30315,836306.452496401,6317668.5685274
254,Saint-Paul-les-Fonts,30355,829488.668365345,6332119.11042573
255,Tavel,30326,835740.006876239,6324824.05212597
256,Nîmes,30189,808375.882236512,6305994.31625786
257,Caissargues,30060,812313.43677318,6300244.87097329
258,Faugères,34096,714828.038848018,6274477.31416432
259,Montagnol,12147,701955.192813581,6303597.9024886
260,Chaulhac,48046,720928.1829455,6424572.36271849
261,Fressac,30119,773831.905500267,6322328.6349155
262,Cheylard-l'Évêque,48048,764196.708018389,6392828.59535968
263,Milhaud,30169,805368.580743285,6299806.16478928
264,Les Monts-Verts,48012,717550.615730608,6416686.47054021
265,Blavignac,48026,722415.417099034,6419064.30343499
266,Saint-Chély-d'Apcher,48140,721770.732041374,6412649.13835964
267,Albaret-le-Comtal,48001,711373.243886386,6418686.79006761
268,Les Bessons,48025,719257.303106694,6408262.39451584
269,Bagnols-sur-Cèze,30028,829925.653551037,6341760.03116623
270,Saint-Pierre-le-Vieux,48177,724187.293091439,6416299.53273431
271,Fournels,48064,710212.56088978,6412459.85078065
272,Tornac,30330,778967.243426673,6324911.4578561
273,Fontans,48063,729817.413830004,6405142.81131333
274,Saint-Laurent-de-Veyrès,48167,709755.550352055,6407503.23413319
275,Grandvals,48071,704162.036010272,6403621.96144489
276,Saint-Mathieu-de-Tréviers,34276,770069.334168679,6297126.33927634
277,Arzenc-d'Apcher,48007,708823.344138117,6416166.65049377
278,Albaret-Sainte-Marie,48002,719848.730400056,6420821.29952194
279,Saint-Léger-du-Malzieu,48169,724959.289617028,6422207.61155152
280,Rimeize,48128,725081.648252877,6407310.59363354
281,Concoules,30090,775330.807643134,6364337.59040561
